Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.2-91.189.91.83-60956-80-6,172.18.0.2,60956,91.189.91.83,80,6,28/11/2023 03:20:49 PM,386122,31,47,146.0,43169.0,146.0,0.0,4.709677419354838,26.222374095909135,1448.0,0.0,918.4893617021278,689.5325093178025,112179.5701876609,202.00869155344682,5014.571428571428,27550.365096171237,221324.0,2.0,378427.0,12614.233333333335,43555.851916649015,221776.0,7.0,386122.0,8393.956521739132,35398.17429564319,221324.0,5.0,0,0,0,0,992,1520,80.28550561739553,121.7231859360513,0.0,1448.0,548.2911392405064,696.0813972425545,484529.31158714695,0,1,0,0,0,0,0,0,1.0,555.3205128205128,4.709677419354839,918.4893617021277,0,0,0,0,0,0,31,146,47,43169,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-91.189.91.83-60956-80-6,172.18.0.2,60956,91.189.91.83,80,6,28/11/2023 03:20:49 PM,1585,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.8296529968454,1585.0,0.0,1585.0,1585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,630.9148264984227,630.9148264984227,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-59473-53-17,172.18.0.2,59473,192.168.65.7,53,17,28/11/2023 03:20:49 PM,126066,0,2,0.0,94.0,0,0,0,0,47.0,47.0,47.0,0.0,745.6411720844636,15.864705789031142,126066.0,0.0,126066.0,126066.0,0,0,0,0,0,126066.0,126066.0,0.0,126066.0,126066.0,0,0,0,0,0,16,0.0,15.864705789031142,47.0,47.0,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,70.5,0.0,47.0,0,0,0,0,0,0,0,0,2,94,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-38272-53-17,172.18.0.2,38272,192.168.65.7,53,17,28/11/2023 03:20:56 PM,10440,0,2,0.0,94.0,0,0,0,0,66.0,28.0,47.0,26.870057685088806,9003.831417624522,191.57088122605364,10440.0,0.0,10440.0,10440.0,0,0,0,0,0,10440.0,10440.0,0.0,10440.0,10440.0,0,0,0,0,0,16,0.0,191.57088122605364,28.0,66.0,40.666666666666664,21.939310229205777,481.3333333333333,0,0,0,0,0,0,0,0,0.0,61.0,0.0,47.0,0,0,0,0,0,0,0,0,2,94,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-49957-53-17,172.18.0.2,49957,192.168.65.7,53,17,28/11/2023 03:20:58 PM,1795,0,2,0.0,90.0,0,0,0,0,45.0,45.0,45.0,0.0,50139.27576601671,1114.2061281337049,1795.0,0.0,1795.0,1795.0,0,0,0,0,0,1795.0,1795.0,0.0,1795.0,1795.0,0,0,0,0,0,16,0.0,1114.2061281337049,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.5,0.0,45.0,0,0,0,0,0,0,0,0,2,90,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-216.58.210.174-0-0-0,172.18.0.2,0,216.58.210.174,0,0,28/11/2023 03:20:56 PM,2020041,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9702367427195786,404008.2,528073.335186222,986963.0,14578.0,1001754.0,1001754.0,0.0,1001754.0,1001754.0,2020041.0,673347.0,570567.1487414957,1010758.0,14578.0,0,0,0,0,0,0,0.9900789142398595,1.980157828479719,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-49394-53-17,172.18.0.2,49394,192.168.65.7,53,17,28/11/2023 03:20:57 PM,1344,0,2,0.0,90.0,0,0,0,0,45.0,45.0,45.0,0.0,66964.28571428572,1488.095238095238,1344.0,0.0,1344.0,1344.0,0,0,0,0,0,1344.0,1344.0,0.0,1344.0,1344.0,0,0,0,0,0,16,0.0,1488.095238095238,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.5,0.0,45.0,0,0,0,0,0,0,0,0,2,90,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/11/2023 03:20:49 PM,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22222.222222222223,22222.222222222223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-33236-53-17,172.18.0.2,33236,192.168.65.7,53,17,28/11/2023 03:20:56 PM,8784,0,2,0.0,90.0,0,0,0,0,45.0,45.0,45.0,0.0,10245.901639344262,227.68670309653916,8784.0,0.0,8784.0,8784.0,0,0,0,0,0,8784.0,8784.0,0.0,8784.0,8784.0,0,0,0,0,0,16,0.0,227.68670309653916,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.5,0.0,45.0,0,0,0,0,0,0,0,0,2,90,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-192.168.65.7-41168-53-17,172.18.0.2,41168,192.168.65.7,53,17,28/11/2023 03:20:49 PM,7526,0,2,0.0,242.0,0,0,0,0,206.0,36.0,121.0,120.20815280171308,32155.19532288068,265.7454158915759,7526.0,0.0,7526.0,7526.0,0,0,0,0,0,7526.0,7526.0,0.0,7526.0,7526.0,0,0,0,0,0,16,0.0,265.7454158915759,36.0,206.0,92.66666666666666,98.14954576223637,9633.333333333332,0,0,0,0,0,0,0,0,0.0,139.0,0.0,121.0,0,0,0,0,0,0,0,0,2,242,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
