Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-77.74.198.52-50320-8083-6,10.0.2.15,50320,77.74.198.52,8083,6,13/02/2023 10:42:26 AM,262597,4,11,213.0,7693.0,213.0,0.0,53.25,106.5,1460.0,0.0,699.3636363636363,728.3095870201453,30106.96999584915,57.121749296450446,18756.928571428572,52544.0338140882,190427.0,0.0,193898.0,64632.66666666667,109517.83705558347,191086.0,256.0,262597.0,26259.7,61392.8372496879,190427.0,0.0,0,0,0,0,80,236,15.232466479053453,41.889282817396996,0.0,1460.0,494.12499999999994,674.4563119036447,454891.3166666666,0,1,0,0,0,0,0,0,2.0,527.0666666666667,53.25,699.3636363636364,0,0,0,0,0,0,4,213,11,7693,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50320-8083-6,10.0.2.15,50320,77.74.198.52,8083,6,13/02/2023 10:42:26 AM,134,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.373134328358,134.0,0.0,134.0,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7462.686567164179,7462.686567164179,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50321-8083-6,10.0.2.15,50321,77.74.198.52,8083,6,13/02/2023 10:42:26 AM,282078,3,6,669.0,539.0,462.0,0.0,223.0,231.41521125457592,539.0,0.0,89.83333333333333,220.04582856002216,4282.503421039571,31.906068534235214,35259.75,75899.19561732617,213920.0,0.0,339.0,169.5,16.263455967290593,181.0,158.0,282078.0,56415.6,92678.61664537295,213920.0,0.0,0,0,0,0,60,136,10.635356178078403,21.270712356156807,0.0,539.0,120.80000000000001,211.0522842014904,44543.06666666667,0,1,0,0,0,0,0,0,2.0,134.22222222222223,223.0,89.83333333333333,0,0,0,0,0,0,3,669,6,539,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50321-8083-6,10.0.2.15,50321,77.74.198.52,8083,6,13/02/2023 10:42:27 AM,140,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14285.714285714286,140.0,0.0,140.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7142.857142857143,7142.857142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63701,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50322-8083-6,10.0.2.15,50322,77.74.198.52,8083,6,13/02/2023 10:42:27 AM,401481,17,35,445.0,41687.0,223.0,0.0,26.176470588235293,73.8937034649415,1460.0,0.0,1191.0571428571427,543.3962340934016,104941.45426558169,129.52045053190562,7872.176470588237,32630.065760709633,209544.0,0.0,328789.0,20549.3125,55111.35899578688,210074.0,254.0,401481.0,11808.264705882355,39565.40619776921,209544.0,0.0,0,0,0,0,340,716,42.34322421235376,87.17722631955186,0.0,1460.0,794.9433962264151,711.1415366830546,505722.2851959362,0,1,0,0,0,0,0,0,2.0,810.2307692307693,26.176470588235293,1191.057142857143,0,0,0,0,0,0,17,445,35,41687,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50322-8083-6,10.0.2.15,50322,77.74.198.52,8083,6,13/02/2023 10:42:27 AM,1851,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.4970286331713,1851.0,0.0,1851.0,1851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,540.2485143165857,540.2485143165857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50323-8083-6,10.0.2.15,50323,77.74.198.52,8083,6,13/02/2023 10:42:32 AM,238362,2,6,184.0,1575.0,184.0,0.0,92.0,130.10764773832474,1460.0,0.0,262.5,588.453481593915,7379.531972378148,33.56239669074769,34051.71428571428,62471.616010031,159030.0,0.0,102.0,102.0,0.0,102.0,102.0,238362.0,47672.4,71009.89602020271,159030.0,0.0,0,0,0,0,40,136,8.390599172686922,25.171797518060767,0.0,1460.0,195.44444444444443,478.9172974301281,229361.77777777778,0,1,0,0,0,0,0,0,3.0,219.875,92.0,262.5,0,0,0,0,0,0,2,184,6,1575,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50323-8083-6,10.0.2.15,50323,77.74.198.52,8083,6,13/02/2023 10:42:33 AM,6830,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.82576866764276,6830.0,0.0,6830.0,6830.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,146.41288433382138,146.41288433382138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50311-80-6,10.0.2.15,50311,77.74.198.52,80,6,13/02/2023 10:42:08 AM,189706,3,4,462.0,1385.0,462.0,0.0,154.0,266.73582436560713,1385.0,0.0,346.25,692.5,9736.11799310512,36.89920192297555,31617.666666666664,35320.45480265885,75056.0,84.0,122379.0,61189.5,84342.9897531502,120829.0,1550.0,144118.0,48039.333333333336,40218.15699821827,75056.0,1819.0,0,0,0,0,60,96,15.813943681275235,21.085258241700313,0.0,1385.0,230.87500000000003,493.56471206924834,243606.12500000003,0,1,0,0,0,0,0,0,1.0,263.85714285714283,154.0,346.25,0,0,0,0,0,0,3,462,4,1385,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-77.74.198.52-50317-80-6,10.0.2.15,50317,77.74.198.52,80,6,13/02/2023 10:42:19 AM,5391696,197,466,417.0,666519.0,161.0,0.0,2.1167512690355323,17.494068195961745,1460.0,0.0,1430.2982832618018,169.4372947649412,123696.88498758091,122.96687350325391,8144.555891238668,106815.89985688067,2098154.0,0.0,5323214.0,27159.255102040806,195447.868113938,2098154.0,130.0,5391684.0,11595.019354838723,130291.69044107596,2147603.0,0.0,0,0,0,0,3940,9336,36.53766829583864,86.42920520741527,0.0,1460.0,1004.4216867469879,669.1280541362343,447732.3528321432,0,1,0,0,0,0,0,0,2.0,1005.9366515837104,2.116751269035533,1430.2982832618027,0,0,0,0,0,0,197,417,466,666519,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
