Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.11-216.58.208.36-52046-80-6,192.168.56.11,52046,216.58.208.36,80,6,30/01/2017 01:06:02 PM,21530,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.78727357176032,7176.666666666666,11735.733906890244,20722.0,57.0,751.0,751.0,0.0,751.0,751.0,20722.0,20722.0,0.0,20722.0,20722.0,0,0,0,0,40,64,92.89363678588016,92.89363678588016,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42900,0,0,0,0,0,0,0,0,0,0,No Label
164.132.225.173-192.168.56.11-80-52047-6,192.168.56.11,52047,164.132.225.173,80,6,30/01/2017 01:06:04 PM,103312,2,5,601.0,350.0,601.0,0.0,300.5,424.9711754931151,350.0,0.0,70.0,156.52475842498527,9205.12621960663,67.75592380362397,17218.666666666668,23178.774157980544,57952.0,12.0,1231.0,1231.0,0.0,1231.0,1231.0,103312.0,25828.0,24721.77519246275,57952.0,12.0,0,0,0,0,40,124,19.358835372463993,48.39708843115998,0.0,601.0,118.875,230.10894159071697,52950.12499999999,0,1,0,0,0,0,0,0,2.0,135.85714285714286,300.5,70.0,0,0,0,0,0,0,2,601,5,350,-1,494,1,0,0,0,0,0,0,0,0,0,No Label
164.132.225.173-192.168.56.11-80-52047-6,192.168.56.11,52047,164.132.225.173,80,6,30/01/2017 01:06:05 PM,1431,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.6240391334732,1431.0,0.0,1431.0,1431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,698.8120195667366,698.8120195667366,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
164.132.225.173-192.168.56.11-80-52048-6,192.168.56.11,52048,164.132.225.173,80,6,30/01/2017 01:06:11 PM,80173,4,7,3025.0,163.0,1460.0,0.0,756.25,813.7503200204184,163.0,0.0,23.28571428571429,61.60820910050404,39764.01032766642,137.20329786835967,8017.3,11706.127512736413,35697.0,7.0,15910.0,5303.333333333333,7572.731101348662,13979.0,19.0,80173.0,13362.166666666666,13144.573441792118,35697.0,7.0,0,0,0,0,80,164,49.89210831576716,87.31118955259252,0.0,1460.0,265.6666666666667,560.3447531870379,313986.2424242424,0,1,0,0,0,0,0,0,1.0,289.8181818181818,756.25,23.285714285714285,0,0,0,0,0,0,4,3025,7,163,-1,639,3,0,0,0,0,0,0,0,0,0,No Label
164.132.225.173-192.168.56.11-80-52048-6,192.168.56.11,52048,164.132.225.173,80,6,30/01/2017 01:06:11 PM,1120,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.7142857142858,1120.0,0.0,1120.0,1120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,892.8571428571429,892.8571428571429,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-69.164.196.21-55991-53-6,192.168.56.11,55991,69.164.196.21,53,6,30/01/2017 01:06:22 PM,248420,3,4,33.0,33.0,33.0,0.0,11.0,19.05255888325765,33.0,0.0,8.25,16.5,265.67909186055874,28.17808550036229,41403.333333333336,62339.38082357465,122142.0,6.0,126711.0,63355.5,87486.7865023056,125218.0,1493.0,245350.0,81783.33333333334,70829.39122520632,123746.0,6.0,0,0,0,0,60,96,12.076322357298125,16.101763143064165,0.0,33.0,8.25,15.276031646247098,233.35714285714283,0,1,0,0,0,0,0,0,1.0,9.428571428571429,11.0,8.25,0,0,0,0,0,0,3,33,4,33,-1,29200,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-89.18.27.34-61455-53-6,192.168.56.11,61455,89.18.27.34,53,6,30/01/2017 01:06:46 PM,90731,3,3,33.0,610.0,33.0,0.0,11.0,19.05255888325765,610.0,0.0,203.33333333333334,352.18366420567173,7086.883204197022,66.12954778410906,18146.2,22572.038968600067,42922.0,102.0,47707.0,23853.5,31222.299923292005,45931.0,1776.0,87566.0,43783.0,1217.637877203235,44644.0,42922.0,0,0,0,0,60,84,33.06477389205453,33.06477389205453,0.0,610.0,91.85714285714285,228.81027699197176,52354.14285714285,0,1,0,0,0,0,0,0,1.0,107.16666666666667,11.0,203.33333333333334,0,0,0,0,0,0,3,33,3,610,-1,1026,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-89.18.27.34-61455-53-6,89.18.27.34,53,192.168.56.11,61455,6,30/01/2017 01:06:46 PM,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,99999.99999999999,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-46.8.44.23-61456-80-6,192.168.56.11,61456,46.8.44.23,80,6,30/01/2017 01:06:49 PM,10068583,3,5,225.0,187.0,225.0,0.0,75.0,129.9038105676658,187.0,0.0,37.4,83.62894235849214,40.91936273455758,0.794550732709856,1438368.9999999998,3689543.2326945295,9804047.0,99.0,250613.0,125306.5,165152.56692071122,242087.0,8526.0,1.0068583E7,2517145.75,4987805.300682013,9998847.0,13824.0,0,0,0,0,60,124,0.297956524766196,0.49659420794366,0.0,225.0,45.77777777777778,91.33287712781441,8341.694444444445,0,1,0,0,0,0,0,0,1.0,51.5,75.0,37.4,0,0,0,0,0,0,3,225,5,187,-1,980,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-69.164.196.21-65274-53-6,192.168.56.11,65274,69.164.196.21,53,6,30/01/2017 01:07:09 PM,250228,3,4,33.0,33.0,33.0,0.0,11.0,19.05255888325765,33.0,0.0,8.25,16.5,263.75945138034115,27.974487267611938,41704.66666666667,61924.82651947171,121893.0,13.0,128228.0,64114.0,88654.21979804458,126802.0,1426.0,244762.0,81587.33333333334,70647.08583043842,122856.0,13.0,0,0,0,0,60,96,11.989065971833687,15.98542129577825,0.0,33.0,8.25,15.276031646247098,233.35714285714283,0,1,0,0,0,0,0,0,1.0,9.428571428571429,11.0,8.25,0,0,0,0,0,0,3,33,4,33,-1,29200,1,0,0,0,0,0,0,0,0,0,No Label
