Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.2-185.125.190.39-47110-80-6,172.18.0.2,47110,185.125.190.39,80,6,28/11/2023 05:03:49 PM,602327,90,136,171.0,132767.0,171.0,0.0,1.9000000000000001,18.024982662959765,1448.0,0.0,976.2279411764704,672.1917381544771,220707.35663518324,375.21147150966175,2677.008888888888,16973.411883156477,228260.0,0.0,600535.0,6747.584269662924,26623.741210025044,228766.0,10.0,602327.0,4461.681481481484,21767.663770479696,228260.0,6.0,0,0,0,0,2880,4368,149.4204975038476,225.79097400581415,0.0,1448.0,585.6299559471368,706.4377009286528,499054.22529336077,0,1,0,0,0,0,0,0,1.0,588.2212389380531,1.9,976.2279411764706,0,0,0,0,0,0,90,171,136,132767,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-47112-80-6,172.18.0.2,47112,185.125.190.39,80,6,28/11/2023 05:03:50 PM,998166,755,1797,166.0,2100855.0,166.0,0.0,0.21986754966887445,6.0413585595487636,1448.0,0.0,1169.090150250419,559.2755223577162,2104881.352400302,2556.688967566517,391.2842022736182,4775.922637110869,210582.0,-2.0,995798.0,1320.6870026525205,8745.11617102927,211099.0,6.0,998166.0,555.77171492205,5687.241610349109,210582.0,2.0,0,0,0,0,24160,57520,756.3872141507525,1800.3017534157646,0.0,1448.0,822.9616137876997,710.6517308347734,505025.88253845915,0,1,0,0,0,0,0,0,2.0,823.2840909090909,0.21986754966887417,1169.0901502504173,0,0,0,0,0,0,755,166,1797,2100855,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-47112-80-6,172.18.0.2,47112,185.125.190.39,80,6,28/11/2023 05:03:51 PM,493,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4056.795131845842,493.0,0.0,493.0,493.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2028.397565922921,2028.397565922921,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1469,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43164-80-6,172.18.0.2,43164,185.125.190.39,80,6,28/11/2023 05:03:51 PM,1456339,3231,8442,156.0,1.1423748E7,156.0,0.0,0.048282265552460873,2.74445503264015,1448.0,0.0,1353.2039800994987,329.95706080763307,7844261.535260677,8015.30412905237,124.7720185058265,2209.8535922889446,208004.0,-17.0,1455377.0,450.5811145510816,4197.419829443381,208476.0,6.0,1456339.0,172.5315720886146,2598.538333850855,208004.0,2.0,0,0,0,0,103392,270160,2218.5768560754054,5796.727272976965,0.0,1448.0,978.5766660955958,667.3413064153661,445344.41924816754,0,1,0,0,0,0,0,0,2.0,978.6604985864816,0.04828226555246054,1353.2039800995026,0,0,0,0,0,0,3231,156,8442,11423748,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43176-80-6,172.18.0.2,43176,185.125.190.39,80,6,28/11/2023 05:03:53 PM,210982,4,6,151.0,1719.0,151.0,0.0,37.75,75.5,1448.0,0.0,286.5,579.249773413853,8863.315353916447,47.397408309713626,23442.44444444444,69555.40445053695,208920.0,6.0,209608.0,69869.33333333334,120805.9483069163,209364.0,47.0,210982.0,42196.4,93202.84632080718,208920.0,13.0,0,0,0,0,128,208,18.95896332388545,28.438444985828173,0.0,1448.0,170.0,433.0180134821183,187504.59999999998,0,1,0,0,0,0,0,0,1.0,187.0,37.75,286.5,0,0,0,0,0,0,4,151,6,1719,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43192-80-6,172.18.0.2,43192,185.125.190.39,80,6,28/11/2023 05:03:53 PM,212088,13,13,151.0,12813.0,151.0,0.0,11.615384615384617,41.879864815004794,1448.0,0.0,985.6153846153845,673.1670840712007,61125.57051789823,122.59062276036363,8483.52,41850.466227112294,209361.0,2.0,210782.0,17565.16666666666,60536.99067036816,209795.0,9.0,211423.0,17618.583333333332,60384.4374042583,209361.0,9.0,0,0,0,0,416,432,61.295311380181815,61.295311380181815,0.0,1448.0,480.1481481481482,675.5253627137292,456334.5156695155,0,1,0,0,0,0,0,0,1.0,498.61538461538464,11.615384615384615,985.6153846153846,0,0,0,0,0,0,13,151,13,12813,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43206-80-6,172.18.0.2,43206,185.125.190.39,80,6,28/11/2023 05:03:53 PM,889379,387,874,142.0,922463.0,142.0,0.0,0.3669250645994832,7.218265662409954,1448.0,0.0,1055.4496567505716,633.7570298110575,1037358.6513735988,1417.8432366853726,705.8563492063498,6732.436687986278,209636.0,0.0,886778.0,2297.3523316062183,12058.194038724865,210145.0,9.0,889379.0,1018.7617411225671,8073.174407237924,209636.0,2.0,0,0,0,0,12384,27984,435.13507739670035,982.7081592886722,0.0,1448.0,731.0657686212363,717.8406068403126,515295.1368288682,0,1,0,0,0,0,0,0,2.0,731.6455194290246,0.3669250645994832,1055.449656750572,0,0,0,0,0,0,387,142,874,922463,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43214-80-6,172.18.0.2,43214,185.125.190.39,80,6,28/11/2023 05:03:54 PM,212999,7,9,158.0,5052.0,158.0,0.0,22.571428571428573,59.7183867354579,1448.0,0.0,561.3333333333334,698.850484724737,24460.208733374337,75.11772355738759,14199.933333333334,54395.188230560394,210823.0,1.0,211690.0,35281.666666666664,86264.37855492072,211368.0,6.0,212999.0,26624.874999999996,74428.76229069647,210823.0,5.0,0,0,0,0,224,304,32.864004056357075,42.253719501030524,0.0,1448.0,306.47058823529414,568.5092476872143,323202.76470588235,0,1,0,0,0,0,0,0,1.0,325.625,22.571428571428573,561.3333333333334,0,0,0,0,0,0,7,158,9,5052,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43218-80-6,172.18.0.2,43218,185.125.190.39,80,6,28/11/2023 05:03:54 PM,368458,27,42,152.0,38547.0,152.0,0.0,5.629629629629629,29.25241363894104,1448.0,0.0,917.7857142857141,689.5019600854464,105029.60988769411,187.26693408746723,5418.499999999999,28320.36383868018,213048.0,2.0,360034.0,13847.461538461537,45123.48754095211,213504.0,10.0,368458.0,8986.780487804877,36203.57111978885,213048.0,5.0,0,0,0,0,864,1360,73.27836551248717,113.98856857498005,0.0,1448.0,552.8428571428575,696.7674353801355,485484.8590062113,0,1,0,0,0,0,0,0,1.0,560.8550724637681,5.62962962962963,917.7857142857143,0,0,0,0,0,0,27,152,42,38547,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43220-80-6,172.18.0.2,43220,185.125.190.39,80,6,28/11/2023 05:03:54 PM,509988,51,100,147.0,94466.0,147.0,0.0,2.88235294117647,20.584117235211743,1448.0,0.0,944.6599999999996,681.9987887663643,185520.05145219102,296.0853980877981,3399.919999999999,19013.991591682963,207387.0,2.0,508285.0,10165.7,32167.276333318634,207872.0,8.0,509988.0,5151.393939393937,23255.48536074094,207387.0,4.0,0,0,0,0,1632,3216,100.00235299654109,196.08304509125705,0.0,1448.0,622.4539473684206,711.3774423010466,506057.86541477893,0,1,0,0,0,0,0,0,1.0,626.5761589403974,2.8823529411764706,944.66,0,0,0,0,0,0,51,147,100,94466,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
